geo,TIME_PERIOD,IS-EPI,IS-HWI,IS-IP,IS-WSI,country_name,Proportion
AT,2010-01-01,396.2,397.79999999999995,391.9,353.6,Austria,0.031213442518345205
BE,2010-01-01,399.1,361.6,406.5,360.3,Belgium,0.03223135473481108
BG,2010-01-01,497.40000000000003,454.6,403.8,369.0,Bulgaria,0.0265492775861807
CY,2010-01-01,700.9,780.6,853.8,764.7,Cyprus,0.04771273605688154
CZ,2010-01-01,433.0,438.5,432.1,455.2,Czechia,0.029245985323832817
DE,2010-01-01,373.7,366.3,372.4,307.0,Germany,0.030043603105391895
DK,2010-01-01,422.0,416.0,354.8,387.70000000000005,Denmark,0.02809133863052825
EE,2010-01-01,343.29999999999995,327.6,285.3,247.6,Estonia,0.03219337293568922
EL,2010-01-01,581.1,553.6,937.8,721.6,Greece,0.027871044195621454
ES,2010-01-01,615.2,381.7,416.3,386.9,Spain,0.024893271144467568
FI,2010-01-01,404.40000000000003,415.2,364.4,333.5,Finland,0.029375123440847146
FR,2010-01-01,439.0,439.2,449.0,394.5,France,0.03171480226675377
HR,2010-01-01,507.7,317.5,594.1,411.20000000000005,Croatia,0.03477613527597575
HU,2010-01-01,419.1,430.5,366.9,349.3,Hungary,0.023951322526245423
IE,2010-01-01,356.29999999999995,330.1,378.9,342.5,Ireland,0.02338919189924188
IT,2010-01-01,519.8,540.9000000000001,588.9000000000001,501.6,Italy,0.03687273058750246
LT,2010-01-01,344.2,329.3,280.7,246.7,Lithuania,0.024171616961152213
LU,2010-01-01,425.7,423.7,418.4,371.5,Luxembourg,0.030750064569058506
LV,2010-01-01,308.1,299.8,263.3,219.7,Latvia,0.025766852524270367
ME,2010-01-01,345.2,367.7,353.0,398.7,Montenegro,0.025660503486729158
MK,2010-01-01,247.6,242.2,148.0,324.0,North Macedonia,0.015618115798909161
MT,2010-01-01,426.4,408.3,294.1,382.8,Malta,0.023738624451163003
NL,2010-01-01,502.4,483.5,414.9,470.9,Netherlands,0.029245985323832817
NO,2010-01-01,338.8,339.9,319.8,299.3,Norway,0.02692149921757494
PL,2010-01-01,449.7,455.8,389.90000000000003,398.1,Poland,0.03236808921164978
PT,2010-01-01,706.7,713.2,739.6,710.8,Portugal,0.04113428844897525
RO,2010-01-01,371.5,370.70000000000005,375.0,309.4,Romania,0.02967138147399766
RS,2010-01-01,489.0,385.0,338.1,319.6,Serbia,0.030750064569058506
SE,2010-01-01,338.9,341.9,349.6,290.8,Sweden,0.02819009130824509
SI,2010-01-01,578.4,394.8,663.3,413.6,Slovenia,0.030438613816259247
SK,2010-01-01,461.9,472.7,400.0,421.4,Slovakia,0.028380000303854392
AT,2011-01-01,405.1,407.3,398.2,367.0,Austria,0.02984911516352536
BE,2011-01-01,408.6,428.90000000000003,427.79999999999995,394.9,Belgium,0.029331837356200416
BG,2011-01-01,441.4,413.0,352.2,348.2,Bulgaria,0.024282914532592147
CY,2011-01-01,657.5,736.3,796.0,733.5,Cyprus,0.03518217650101634
CZ,2011-01-01,423.1,431.1,416.6,437.2,Czechia,0.027510436626183004
DE,2011-01-01,386.7,393.8,398.2,327.1,Germany,0.030854528366494972
DK,2011-01-01,424.5,424.8,366.1,402.0,Denmark,0.03049753382341156
EE,2011-01-01,344.1,335.8,363.3,273.4,Estonia,0.030482962617571416
EL,2011-01-01,481.2,456.7,552.2,588.2,Greece,0.031029382836576642
ES,2011-01-01,523.1,351.5,351.4,364.3,Spain,0.03065053148473302
FI,2011-01-01,415.2,428.8,393.7,358.2,Finland,0.030854528366494972
FR,2011-01-01,436.1,435.6,440.2,406.2,France,0.028982128416037072
HR,2011-01-01,469.4,304.3,526.1,415.1,Croatia,0.030111396868647868
HU,2011-01-01,411.4,417.6,337.59999999999997,350.3,Hungary,0.02364906707854609
IE,2011-01-01,328.20000000000005,323.1,315.6,316.4,Ireland,0.03202022483370612
IT,2011-01-01,503.79999999999995,517.6,558.0,500.1,Italy,0.02893841479851665
LT,2011-01-01,357.4,350.70000000000005,342.6,279.0,Lithuania,0.026424881791092626
LU,2011-01-01,419.8,424.5,421.9,372.8,Luxembourg,0.030111396868647868
LV,2011-01-01,335.7,337.09999999999997,295.5,255.4,Latvia,0.024326628150112564
ME,2011-01-01,346.2,440.5,389.0,367.0,Montenegro,0.03832227135956636
MK,2011-01-01,273.1,276.4,190.2,330.8,North Macedonia,0.03124066532125866
MT,2011-01-01,405.6,404.2,307.2,381.5,Malta,0.031575803055581865
NL,2011-01-01,492.9,484.3,418.9,468.9,Netherlands,0.031648659084782566
NO,2011-01-01,351.6,352.0,329.7,308.2,Norway,0.030308108147489746
PL,2011-01-01,483.7,494.70000000000005,449.59999999999997,446.1,Poland,0.024902190780798066
PT,2011-01-01,631.1,628.7,642.6,628.1,Portugal,0.027707147905024883
RO,2011-01-01,369.3,371.9,385.1,327.3,Romania,0.02789657358094669
RS,2011-01-01,468.6,398.0,405.8,347.1,Serbia,0.031277093335859006
SE,2011-01-01,364.8,357.0,376.5,313.4,Sweden,0.03018425289784856
SI,2011-01-01,499.6,392.6,482.5,421.2,Slovenia,0.0256380366757251
SK,2011-01-01,445.2,450.6,426.59999999999997,420.5,Slovakia,0.02602417363048879
AT,2012-01-01,412.1,410.8,410.9,382.7,Austria,0.028878064283487857
BE,2012-01-01,412.4,419.9,424.3,403.4,Belgium,0.02311467494606372
BG,2012-01-01,407.6,394.8,349.5,336.9,Bulgaria,0.021262811776138466
CY,2012-01-01,561.8,610.6,628.1,619.7,Cyprus,0.04611933821866653
CZ,2012-01-01,420.09999999999997,427.8,385.0,426.8,Czechia,0.025064326270176445
DE,2012-01-01,390.7,389.5,395.5,337.1,Germany,0.02856025278237857
DK,2012-01-01,424.1,424.2,369.8,409.0,Denmark,0.02889028780276129
EE,2012-01-01,385.4,382.3,423.8,344.8,Estonia,0.03467201241909557
EL,2012-01-01,451.0,419.4,366.9,475.2,Greece,0.01551775771762448
ES,2012-01-01,432.6,326.9,327.7,337.29999999999995,Spain,0.022197911000556167
FI,2012-01-01,412.3,423.0,386.70000000000005,378.2,Finland,0.027839065145245964
FR,2012-01-01,432.8,433.4,417.5,409.8,France,0.021837317181989866
HR,2012-01-01,433.6,255.3,457.8,420.1,Croatia,0.03048545706794443
HU,2012-01-01,400.9,404.5,315.3,350.6,Hungary,0.03394471302232625
IE,2012-01-01,304.2,291.8,307.9,289.5,Ireland,0.032147855689131456
IT,2012-01-01,477.7,461.3,485.4,461.9,Italy,0.023805303785012742
LT,2012-01-01,357.4,364.4,318.2,298.4,Lithuania,0.029318110977331484
LU,2012-01-01,412.3,403.7,404.8,383.2,Luxembourg,0.02466706189378984
LV,2012-01-01,370.4,371.6,339.2,287.6,Latvia,0.0311577506279833
ME,2012-01-01,359.6,388.0,337.8,359.9,Montenegro,0.06359897077967716
MK,2012-01-01,263.9,244.5,205.6,338.8,North Macedonia,0.01870198448835404
MT,2012-01-01,390.7,392.9,312.5,379.6,Malta,0.036316075761372454
NL,2012-01-01,473.9,461.2,385.0,461.3,Netherlands,0.03121275646471375
NO,2012-01-01,371.3,371.3,354.40000000000003,335.5,Norway,0.028493023426374685
PL,2012-01-01,492.8,502.8,426.1,455.0,Poland,0.028438017589644232
PT,2012-01-01,542.0,536.2,541.5,527.9,Portugal,0.024453150306504745
RO,2012-01-01,397.1,395.40000000000003,390.6,361.0,Romania,0.031341103417084806
RS,2012-01-01,445.3,390.0,404.8,359.3,Serbia,0.04289232913047995
SE,2012-01-01,384.29999999999995,373.0,371.1,338.6,Sweden,0.029758157671175105
SI,2012-01-01,440.4,386.5,400.7,410.9,Slovenia,0.03186060298620575
SK,2012-01-01,425.2,428.8,373.6,402.9,Slovakia,0.020853323880478426
AT,2013-01-01,411.8,410.6,413.59999999999997,390.4,Austria,
BE,2013-01-01,408.1,409.1,410.3,403.1,Belgium,
BG,2013-01-01,391.4,379.6,336.4,341.0,Bulgaria,
CY,2013-01-01,446.7,422.1,509.6,464.0,Cyprus,
CZ,2013-01-01,399.5,400.9,359.2,389.6,Czechia,
DE,2013-01-01,395.0,391.1,394.3,347.1,Germany,
DK,2013-01-01,377.3,374.8,366.8,359.1,Denmark,
EE,2013-01-01,386.7,377.5,423.1,372.0,Estonia,
EL,2013-01-01,452.2,409.4,337.1,421.1,Greece,
ES,2013-01-01,383.5,343.6,332.2,339.4,Spain,
FI,2013-01-01,414.0,422.2,375.0,385.5,Finland,
FR,2013-01-01,424.4,424.7,419.1,409.3,France,
HR,2013-01-01,411.6,239.0,431.8,428.2,Croatia,
HU,2013-01-01,387.6,385.7,341.9,362.1,Hungary,
IE,2013-01-01,305.1,295.6,342.79999999999995,296.9,Ireland,
IT,2013-01-01,437.4,410.8,435.7,421.6,Italy,
LT,2013-01-01,362.0,368.6,354.0,331.9,Lithuania,
LU,2013-01-01,400.6,387.59999999999997,388.7,385.7,Luxembourg,
LV,2013-01-01,408.2,410.9,364.1,341.3,Latvia,
ME,2013-01-01,364.1,468.9,370.7,425.6,Montenegro,
MK,2013-01-01,337.9,318.7,294.0,356.1,North Macedonia,
MT,2013-01-01,360.8,355.3,318.4,353.1,Malta,
NL,2013-01-01,432.3,426.4,362.4,429.9,Netherlands,
NO,2013-01-01,382.29999999999995,379.3,376.9,360.1,Norway,
PL,2013-01-01,457.8,452.1,382.3,419.6,Poland,
PT,2013-01-01,456.7,454.7,455.8,452.7,Portugal,
RO,2013-01-01,387.0,385.1,388.2,362.7,Romania,
RS,2013-01-01,421.1,386.40000000000003,323.8,363.4,Serbia,
SE,2013-01-01,382.5,381.1,359.7,355.2,Sweden,
SI,2013-01-01,399.5,389.4,373.7,402.2,Slovenia,
SK,2013-01-01,408.0,409.7,353.7,390.1,Slovakia,
AT,2014-01-01,405.7,405.3,405.7,395.7,Austria,
BE,2014-01-01,402.3,410.3,408.2,407.4,Belgium,
BG,2014-01-01,407.4,399.5,359.8,375.4,Bulgaria,
CY,2014-01-01,401.9,396.1,399.3,409.2,Cyprus,
CZ,2014-01-01,392.8,394.8,374.6,386.2,Czechia,
DE,2014-01-01,400.6,402.8,405.6,362.4,Germany,
DK,2014-01-01,387.1,386.4,382.9,374.8,Denmark,
EE,2014-01-01,375.1,369.6,414.5,381.7,Estonia,
EL,2014-01-01,530.3,413.4,390.1,458.0,Greece,
ES,2014-01-01,370.1,366.8,391.2,364.2,Spain,
FI,2014-01-01,400.5,406.7,377.1,387.7,Finland,
FR,2014-01-01,414.2,415.0,407.6,406.5,France,
HR,2014-01-01,401.6,216.0,402.2,432.2,Croatia,
HU,2014-01-01,395.2,394.5,388.2,375.6,Hungary,
IE,2014-01-01,340.8,357.3,370.9,357.5,Ireland,
IT,2014-01-01,413.0,380.0,404.2,395.6,Italy,
LT,2014-01-01,381.4,386.5,414.20000000000005,367.29999999999995,Lithuania,
LU,2014-01-01,401.3,401.5,403.4,397.7,Luxembourg,
LV,2014-01-01,408.7,415.9,402.5,380.3,Latvia,
ME,2014-01-01,388.0,389.2,378.0,384.6,Montenegro,
MK,2014-01-01,362.4,352.4,284.4,381.8,North Macedonia,
MT,2014-01-01,363.4,342.0,369.9,357.5,Malta,
NL,2014-01-01,407.6,411.2,374.0,406.1,Netherlands,
NO,2014-01-01,390.7,388.9,394.2,379.4,Norway,
PL,2014-01-01,424.1,422.5,398.7,406.1,Poland,
PT,2014-01-01,417.4,414.7,411.2,411.7,Portugal,
RO,2014-01-01,378.6,377.2,362.2,353.8,Romania,
RS,2014-01-01,403.7,396.7,331.6,370.3,Serbia,
SE,2014-01-01,386.1,383.9,365.5,368.1,Sweden,
SI,2014-01-01,397.6,393.8,432.7,401.9,Slovenia,
SK,2014-01-01,403.29999999999995,400.9,338.9,382.6,Slovakia,
AT,2015-01-01,400.0,399.9,400.0,400.0,Austria,
BE,2015-01-01,400.1,400.0,400.0,399.9,Belgium,
BG,2015-01-01,400.0,400.0,400.0,400.1,Bulgaria,
CY,2015-01-01,399.9,400.0,400.0,399.9,Cyprus,
CZ,2015-01-01,400.1,400.0,400.0,400.0,Czechia,
DE,2015-01-01,400.0,399.9,400.0,400.0,Germany,
DK,2015-01-01,400.1,400.0,400.0,399.9,Denmark,
EE,2015-01-01,400.0,400.0,400.0,400.0,Estonia,
EL,2015-01-01,400.0,400.0,400.1,400.1,Greece,
ES,2015-01-01,400.0,400.0,400.0,400.0,Spain,
FI,2015-01-01,399.9,400.1,400.0,399.9,Finland,
FR,2015-01-01,400.0,400.0,400.0,400.0,France,
HR,2015-01-01,400.0,400.0,400.0,400.0,Croatia,
HU,2015-01-01,400.0,400.0,400.1,400.0,Hungary,
IE,2015-01-01,400.1,400.1,399.9,400.0,Ireland,
IT,2015-01-01,400.1,400.0,400.1,400.0,Italy,
LT,2015-01-01,400.0,400.0,400.0,400.1,Lithuania,
LU,2015-01-01,400.0,400.0,400.0,400.0,Luxembourg,
LV,2015-01-01,400.0,400.0,400.0,400.0,Latvia,
ME,2015-01-01,400.0,400.0,400.0,400.0,Montenegro,
MK,2015-01-01,400.0,400.0,400.1,399.8,North Macedonia,
MT,2015-01-01,400.1,400.0,400.0,399.9,Malta,
NL,2015-01-01,399.9,400.0,400.0,400.0,Netherlands,
NO,2015-01-01,399.9,400.0,400.0,400.0,Norway,
PL,2015-01-01,400.1,400.1,399.90000000000003,399.9,Poland,
PT,2015-01-01,400.0,400.09999999999997,400.0,400.1,Portugal,
RO,2015-01-01,400.0,400.1,400.6,400.0,Romania,
RS,2015-01-01,400.1,399.4,400.4,399.6,Serbia,
SE,2015-01-01,399.9,399.9,400.0,399.9,Sweden,
SI,2015-01-01,400.1,400.0,400.0,399.9,Slovenia,
